lyrics_string,genre_class
"I'm from the east side of America\nWhere we choose pride over character\nAnd we can pick sides, but this is us, this is us, this is\nI live on the west side of America\nWhere they spin lies into fairy dust\nAnd we can pick sides, but this is us, this is us, this is\n\nAnd don't believe the narcissism\nWhen everyone projects and expects you to listen to 'em\nMake no mistake, I live in a prison\nThat I built myself, it is my religion\nAnd they say that I am the sick boy\nEasy to say, when you don't take the risk, boy\nWelcome to the narcissism\nWhere we're united under our indifference\n\nAnd I'm from the east side of America\nWhere we desensitize by hysteria\nAnd we can pick sides, but this is us, this is us, this is\n...\n\n\n",C17
"You call me all friendly\nTellin' me how much you miss me\nThat's funny, I guess you've heard my songs\n\nWell, I'm too busy for your business\nGo find a girl who wants to listen\n'Cause if you think I was born yesterday, you have got me wrong\n\nSo I cut you off\nI don't need your love, 'cause I already cried enough\nI've been done\nI've been movin' on since we said goodbye\n\nI cut you off\nI don't need your love, so you can try all you want\nYour time is up, I'll tell you why\n\nYou say you're sorry, but it's too late now\nSo save it, get gone, shut up\n'Cause if you think I care about you now\nWell, boy, I don't give a fuck\n\nI remember that weekend\nWhen my best friend caught you creepin'\nYou blamed it all on the alcohol\n...\n\n\n",C14
"Time flies by when the night is young\nDaylight shines on an unexposed location, location\nBloodshot eyes lookin' for the sun\nParadise delivered and we call it a vacation, vacation\n\nYou're painting me a dream that I\nWanna belong in, wanna belong in\n\nOver the hills and far away\nA million miles from L.A.\nJust anywhere away with you\nI know we've got to get away\nSome place where no one knows our name\nWe'll find the start of something new\n\nJust take me anywhere, take me anywhere\nAnywhere away with you\nJust take me anywhere, take me anywhere\nAnywhere away with you\n...\n\n\n",C20
"Oh-Ohhh-Oh-Ohhh-Woh\nOh-Ohhh-Oh-Ohhh-Woh\n\nYou say you love me\nI say you crazy\nWe're nothing more than friends\nYou're not my lover\nMore like a brother\nI know you since we were like ten, yeah\n\nDon't mess it up\nTalking that shit\nOnly gonna push me away, that's it!\nWhen you say you you love me\nThat make me a crazy\nHere we go again\n\nDon't go look at me with that look in your eye\nYou really ain't going away without a fight\nYou can't be reasoned with\nI'm done being polite\nI've told you 1, 2, 3, 4, 5, 6000 times\n\nHaven't I made it obvious?\nHaven't I made it clear?\nWant me to spell it out for you?\nF-R-I-EN-D-S\nHaven't I made it obvious?\nHaven't I made it clear?\nWant me to spell it out for you?\n...\n\n\n",C14
"Falling too fast to prepare for this\nTripping in the world could be dangerous\nEverybody circling is vulturous\nNegative, Nepotist\n\nEverybody waiting for the fall of man\nEverybody praying for the end of times\nEverybody hoping they could be the one\nI was born to run, I was born for this\n\nWhip, whip\nRun me like a race horse\nHold me like a rip cord\nBreak me down and build me up\nI wanna be the slip, slip\nWord upon your lip, lip\nLetter that you rip, rip\nBreak me down and build me up\n\nWhatever it takes\nCause I love the adrenaline in my veins\nI do whatever it takes\nCause I love how it feels when I break the chains\nWhatever it takes\nYa take me to the top, I'm ready for\nWhatever it takes\n...\n\n\n",C20
"We are searchlights, we can see in the dark\nWe are rockets, pointed up at the stars\nWe are billions of beautiful hearts\nAnd you sold us down the river too far\n\nWhat about us?\nWhat about all the times you said you had the answers?\nWhat about us?\nWhat about all the broken happy ever afters?\nWhat about us?\nWhat about all the plans that ended in disaster?\nWhat about love? What about trust?\nWhat about us?\n\nWe are problems that want to be solved\nWe are children that need to be loved\nWe were willing, we came when you called\nBut man, you fooled us, enough is enough, oh\n\n...\n\n\n",C14
"I got a bone to pick\nI don't want you monkey mouth motherfuckers sittin' in my throne again\n(Aye aye nigga whats happenin' nigga, K Dot back in the hood nigga)\nI'm mad (He mad), but I ain't stressin'\nTrue friends, one question\n\nBitch where you when I was walkin'?\nNow I run the game got the whole world talkin', King Kunta\nEverybody wanna cut the legs off him, Kunta\nBlack man taking no losses\nBitch where you when I was walkin'?\nNow I run the game, got the whole world talkin', King Kunta\nEverybody wanna cut the legs off him\n\nWhen you got the yams (What's the yams?)\nThe yam is the power that be\nYou can smell it when I'm walking down the street\n(Oh yes we can, oh yes we can)\nI can dig rapping, but a rapper with a ghost writer?\nWhat the fuck happened? (Oh no) I swore I wouldn't tell\nBut most of y'all share bars, like you got the bottom bunk in a two man cell\n(A two man cell)\nSomething's in the water (Something's in the water)\nAnd if I got a brown nose for some gold then I'd rather be a bum than a motherfuckin' baller\n\nBitch where you when I was walkin'?\nNow I run the game got the whole world talkin', King Kunta\nEverybody wanna cut the legs off him, Kunta\nBlack man taking no losses\nBitch where you when I was walkin'?\nNow I run the game, got the whole world talkin', King Kunta\n...\n\n\n",C18
"Can't keep my hands to myself\nThink I'll dust 'em off, put 'em back up on the shelf\nIn case my little baby girl is in need\nAm I coming out of left field?\n\n\nOoh woo, I'm a rebel just for kicks, now\nI been feeling it since 1966, now\nMight be over now, but I feel it still\nOoh woo, I'm a rebel just for kicks, now\nLet me kick it like it's 1986, now\nMight be over now, but I feel it still\n\n\nGot another mouth to feed\nLeave it with a baby sitter, mama, call the grave digger\nGone with the fallen leaves\nAm I coming out of left field?\n\n\n...\n\n\n",C20
"Here's to joy\nAnd the light it brings\nHere's to songs that I'll never sing\nHere's to love and it's sunken dreams\nHere's to life and the way it seems\nHere's to love in loveless times\nHere's to all that I've left behind\nHere's to light when darkness falls\nHere's to time there's no time at all\nHere's to beauty broken down\nHere's to all things turn around\nHere's to gray to old and rust\n...\n\n\n",C14
"Strung out, falling from the big time\nWelcome to the infinite black skies\nBrain cleansed, fractured identity\nFragments and scattered debris\n\nThought contagion\nThought contagion\n\nFall down, learn when to count it out\nProp me up before I blackout\nWithdraw before you're out of time\nClean slate and buried war crimes\n\nYou've been bitten by\nA true believer\nYou've been bitten by\n...\n\n\n",C20
"The club isn't the best place to find a lover\nSo the bar is where I go\nMe and my friends at the table doing shots\nDrinking fast, and then we talk slow\n\nAnd you come over and start up a conversation with just me\nAnd trust me, I'll give it a chance now\nTake my hand, stop\nPut Van the Man on the jukebox\nAnd then we start to dance\nAnd now I'm singing like\n\nGirl, you know I want your love\nYour love was handmade for somebody like me\nCome on now, follow my lead\nI may be crazy, don't mind me\n\nSay: Boy, let's not talk too much\nGrab on my waist and put that body on me\nCome on now, follow my lead\nCome, come on now, follow my lead\n\nI'm in love with the shape of you\nWe push and pull like a magnet do\nAlthough my heart is falling too\nI'm in love with your body\nLast night you were in my room\nAnd now my bed sheets smell like you\nEvery day discovering something brand new\n\nOh, I'm in love with your body\nOh-i-oh-i-oh-i-oh-i\nOh, I'm in love with your body\nOh-i-oh-i-oh-i-oh-i\nOh, I'm in love with your body\nOh-i-oh-i-oh-i-oh-i\n...\n\n\n",C14
"I know you're out in Cabo\nHanging with your brother\nWishin' that I was your bottle\nSo I could be close to your lips again\n\nI know you didn't call your parents\nAnd tell 'em that we ended\n'Cause you know that they'd be offended\nDid you not want to tell 'em it's the end?\n\nAnd I know we're not supposed to talk\nBut I'm getting ahead of myself\nI get scared when you're not\n'Cause I'm scared you're with somebody else\nSo, I guess that it's gone\nAnd I just keep lying to myself\nOh, I can't believe it, I...\n\nI miss you, yeah, I miss you\nI miss you, yeah, I miss you\nOh, I do\nI miss you, yeah, I miss you\n...\n\n\n",C17
"Baby, I think of you\nWhen I'm all alone and it's half past two\nBet you think about it too\nAin't nobody love you like I do\nBaby, I think of you\nWhen I'm all alone and it's half past two\nBet you think about it too\nAin't nobody love you like I do\nLike I do\nLike, like I do\nLike I do\n...\n\n\n",C17
"Dan dan, dan dan\nDan dan, dan dan\nDan dadan dadan, dan dan dan dan\nDan are you ready for this?\nEmpire goverment, (we all said betrayed)\nFrom the start, from the beginning lyrical\n...\n\n\n",C17
"Everything was going well, no obligation\nThought I'd make a getaway on a chill out day\nA coffee to take away, I got my hair done\nShould have been a lovely day, didn't end that way\nPuis, là, c'est trop parti en couille, y'a d'abord eu la pluie\n\nLa Loi de Murphy a décidé d'enterrer mon brushing\nUn mec me demande son chemin, gentiment je le dépanne\nEn fait, c'était qu'un plan drague, ce con m'a fait rater mon tram\nJ'en profite, je passe à la banque, je laisse passer mémé\nSi seulement j'avais su qu'elle\nrelèverait tous ses extraits de l'année\nJe l'aurais poussée et coincée dans la porte automatique\n\nOne time, never give it up\nTwo times, for all the love I got\nThree for you, where are you?\nOne time, for the hips I got\nTwo times, shaken to the top\nThree for you, I miss you too\n...\n\n\n",C14
"Come back to me\nI'm missing you now\nI'm missing you\nI'm missing you now\nI'm missing you\nI said I'm missing you now\nCome back to me, back to me\n\nI said I'm missing you\nI'm missing you now\nI'm missing you\nI'm missing you now\nI'm missing you\nI said I'm missing you now\nCome back to me\n\nPlease come back to me\nDarling come back to me\n...\n\n\n",C17
"Hey, you there\nCan we take it to the next level\nBaby, do you dare?\nDon't, be scared\n'Cause if you can say the words\nI don't know why I should care\n\n'Cause here I am\nI'm giving all I can\nBut all you ever do is mess it up\nYeah, I'm right here\nI'm trying to make it clear\nThat getting half of you, just ain't enough\n\nI'm not going to wait until you're done\nPretending you don't need anyone\nI'm standing here naked\n(Naked, naked)\nI'm standing here naked\n(Naked, naked)\nI'm not going to try 'til you decide\nYou're ready to swallow all your pride\nI'm standing here naked\n(Naked, naked)\n...\n\n\n",C14
"Something about the way that you\nWalked into my living room\nCasually and confident\nLookin' at the mess I am\nBut still you\nStill you want me\n\nStress lines and cigarettes\nPolitics and deficits\nLate bills and overages\nScreamin' and hollerin'\nBut still you\nStill you want me\n\nOhhh, I always let you down\nYou're shattered on the ground\nBut still I find you there\nNext to me\nAnd ohhh, stupid things I do\nI'm far from good, it's true\nBut still I find you\n...\n\n\n",C20
"Just stop your crying, it's a sign of the times\nWelcome to the final show\nHope you're wearing your best clothes\nYou can't bribe the door on your way to the sky\nYou look pretty good down here\nBut you ain't really good\n\nWe never learn, we been here before\nWhy are we always stuck and running from\nThe bullets? The bullets?\nWe never learn, we been here before\nWhy are we always stuck and running from\nThe bullets? The bullets?\n\nJust stop your crying, it's a sign of the times\nWe gotta get away from here\nWe gotta get away from here\nJust stop your crying, it'll be alright\nThey told me that the end is near\nWe gotta get away from here\n...\n\n\n",C14
"Turn on\nWe all stars, we are one\nWe light up the night like a black sun\nWe all shine, we are chrome\nAnd we are shimmering\nTurn on, turn on (turn on)\n\nPlay it loud, we don't care\nAnd dance like there's nobody there\nLight up the night, yeah\nLight it up every night\n'Cause we are shimmering\nTurn on, turn on (turn on)\n\nWe all stars, we are one\nWe light up the night like a black sun\nWe all shine, we are chrome\nAnd we are shimmering\n...\n\n\n",C17
"You are my heart lost in a star\nAnd I hold my head down\nYou love me true, upon the moon\nAnd I hold my head down\nYou are my heart lost in a star\nAnd I hold my head down\n‘Cause you hold my head\n‘Cause you hold my head down\n‘Cause you hold my head down\n\nYou are the night, lost in the sky\nAnd I hold my head down\nYou're the night, all that I try\nAnd I hold my head down\nBut you hold my head down\n\nBut I'm not breathing\nI'm not sleeping\nI'm not leaving here\nFor you\n\nBut I'm not breathing\nI'm not sleeping\nI'm not leaving here\n...\n\n\n",C20
"Yo, Big Shaq, the one and only\nMan's not hot, never hot\nSkrrat (GottiOnEm), skidi-kat-kat\nBoom\n\nTwo plus two is four\nMinus one that's three, quick maths\nEveryday man's on the block\nSmoke trees (ah)\nSee your girl in the park\nThat girl is a uckers\nWhen the ting went quack-quack-quack\nYou man were ducking (you man ducked)\nHold tight, Asznee (my brudda)\nHe's got the pumpy (big ting)\nHold tight, my man (my guy)\n\nHe's got the frisbee (shew)\nI trap, trap, trap on the phone\nMovin' that cornflakes\nRice Krispies\nHold tight, my girl Whitney (my G)\nOn, on, on, on, on the road doin' ten toes\nLike my toes (like my toes)\n\nYou man thought I froze\nI see a peng girl, then I pose (chilin')\nIf she ain't on it, I ghost\nHah, look at your nose (check your nose, fam)\nYou donut\nNose long like garden hose\n\nI tell her man's not hot\n\nI tell her man's not hot\n...\n\n\n",C18
"We were on fire\nI slashed your tires\nIt's like we burned so bright, we burned out\nI made you chase me\nI wasn't that friendly\nMy love, my drug, we're fucked up, oh\n\n'Cause I've been on the run so long, they can't find me\nYou waken up to remember I'm pretty\nAnd when the chemicals leave my body\nYeah, they're gonna find me in a hotel lobby\n'Cause mmm tough\nTimes they keep coming, all night\nLaughing and fucking\nSome days I can barely breathe\nAfter we were high on the love\nDon't doubt it was you\n\nThe pill I keep taking\nThe nightmare I wake in\nThere's nothing, no nothing, nothing but you\nMy perfect rock bottom\nMy beautiful trauma\nMy love, my love, my drug, oh\n...\n\n\n",C14
"Get your money, keep fighting, go all in\nI want to be your high when you're falling\nDon't be stupid and feel like you want me\nWe can be one, don't fight it, just show me\n\nGoing in back and forth, the rain gon' drop\nGoing in back and forth, it ain't gon' stop\nGoing in back and forth, the rain gon' drop\nGoing in back and forth, it ain't gon' stop\n\nTill the rain goes drop\nTill the rain goes low (low)\n...\n\n\n",C17
"Got ready for the night and\nShe's heading for the lights\nShe see's the vision going\nCutting out, left alive\nSee how she looks for trouble\nSee how she dances and\nShe sips a Coca Cola\nShe can't tell the difference and\n\nThat's what you're coming for and\nThey don't want to let you in and\nYou drop your bag to the floor and\nYou ask her what's happening\nIt's getting late now hey now\nEnough of the arguments\nShe sips a Coca Cola\nShe can't tell the difference and\n\noh oh oh, oh oh oh oh, oh oh oh oh\nShe can't tell the difference and\nShe can't tell the difference and\nShe can't tell the difference and\n\nThat's what you're coming for and\n...\n\n\n",C17
"I got a case of the blues love\nIt's what happens when you take your time with apologies\nCause we won't and it won't stop till the beat\n\nWhen you go down low\nWe just let the party for tonight I say\nWhat up, what up eh roll up, roll up\nI keep getting in the mood yeah\n\nIn the mood yeah\nI keep getting in the mood yeah\nIn the mood yeah\nI keep getting in the mood yeah\n\nIn the mood yeah\nI keep getting in the mood\nIn the mood yeah\n\nI got to know your intentions\nYou seem so fine whit letting all this time pass by\nNo apologies,\n...\n\n\n",C17
"Huh, yeah, naw I just, had a lil' bit too much of Hennessy\nJust gotta tell you how I feel, look\n\nYou so fuckin' precious when you smile\nHit it from the back and drive you wild\nGirl, I lose myself up in those eye-eye-eye-eye-eyes\nI just had to let you know you're mine\n\nHands on your body, I don't wanna waste no time\n...\n\n\n",C14
"I've been reading books of old\nThe legends, and the myths\nAchilles, and his gold\nHercules, and his gifts\nSpiderman's control\nAnd Batman with his fists\nAnd clearly I don't see myself upon that list\n\nShe said, where'd you wanna go?\nHow much you wanna risk?\nI'm not looking for somebody\nWith some superhuman gifts\nSome superhero\nSome fairytale bliss\nJust something I can turn to\nSomebody I can kiss\n\nI want something just like this\nDoo-doo-doo, doo-doo-doo\nDoo-doo-doo, doo-doo\nDoo-doo-doo, doo-doo-doo\nOh, I want something just like this\nDoo-doo-doo, doo-doo-doo\nDoo-doo-doo, doo-doo\n...\n\n\n",C17
"I found a love for me\nOh darling, just dive right in and follow my lead\nWell, I found a girl beautiful and sweet\nOh, I never knew you were the someone waiting for me\n\n'Cause we were just kids when we fell in love\nNot knowing what it was, I will not give you up this time\nBut darling, just kiss me slow, your heart is all I own\nAnd in your eyes, you're holding mine\n\nBaby, I'm dancing in the dark with you between my arms\nBarefoot on the grass, listening to our favorite song\n...\n\n\n",C14
"Can't help but wondering\nIf this is the last time that I'll see your face\nIs it tears or just the fucking rain?\nWish I could say something\n\nSomething that doesn't sound insane\nBut lately, I don't trust my brain\nYou tell me I won't ever change\nSo I just say nothing\n\nNo matter where I go\nI'm always gonna want you back\nNo matter how long you're gone\nI'm always gonna want you back\nI know you know I will never get over you\nNo matter where I go\nI'm always gonna want you back\nWant you back\n\nI remember the freckles on your back\nAnd the way that I used to make you laugh\n'Cause you know every morning I wake up\nYeah, I still reach for you\n\n...\n\n\n",C14
"Oh Lord\nHear me turn these words into a song\nFor them to sing along to when I'm gone\nFor them to sing along to when I'm gone\n\nThey can call me whatever they want\nCall me crazy\nYou can call me whatever you want\nBut that won't change me\nI just don't care what the world says\nI'm gonna make it\nThey can call me whatever they want\nSo what if I am crazy\n...\n\n\n",C17
"Hello party people\nThis is your captain, Schorre Chef speaking\nWelcome aboard to PartyFriex Airways\nAfter takeoff we will pump up the soundsystem\nCause we are going, naar de klote!\n\nS'morgens de taxi om zeven uur\nGaan we op weg naar een nieuw avontuur\nMet het vliegtuig vanaf Schiphol\nDaar gieten wij ons vast, half vol!\nHelemaal gaan plof ik in mijn stoel\nJa, hier begint het vakantie gevoel\nHai stewardess doe mij maar een potje bier\nWant het is tijd voor vijftien naar je plezier\n\nIk moet zuipen!\nBarman hedde gij mij nog niet geheurd\nDoe mij wat bier\nIeder kwartier\n\nIk moet zuipen!\n...\n\n\n",C14
"I like digging holes and hiding things inside them\nWhen I'll grow old I hope I won't forget to find them\n'Cause I've got memories and travel like gypsies in the night\n\nI built a home and wait for someone to tear it down\nThen pack it up in boxes, head for the next town running\n'Cause I've got memories and travel like gypsies in the night\n\nAnd a thousand times I've seen this road,\nA thousand times\n\nI've got no roots, but my home was never on the ground\nI've got no roots, but my home was never on the ground\nI've got no roots uh uh uh uh\nI've got no roots uh uh uh uh\n\nI've got no roots, but my home was never on the ground\nI've got no roots, but my home was never on the ground\nI've got no roots uh uh uh uh\nI've got no roots uh uh uh uh\n\n...\n\n\n",C20
"You can't shut me down\nYou can't you can't shut me down\nYou can't shut me down\nYou can't you can't shut me down\n\nYou can't shut me down\nYou can turn me off and I can't\nTouch the ground\nWhy are you so rough and you can't\nYou can't shut me down\nYou can't you can't shut me down\nYou can't shut me down\nYou can't you can't shut me down\n\nProbably, You're missing me\nBut I can see, I've got to be by myself\nI don't even think I know what day it is\n...\n\n\n",C7
"There were nights when the wind was so cold\nThat my body froze in bed\nIf I just listened to it\nRight outside my window\nThere were days when the sun was so cruel\nThat all the tears turned to dust\nAnd I just knew my eyes were\nDrying up forever\n(forever)\nI finished crying in the instant that you left\nAnd I can't remember where or when or how\nAnd I banished every memory you and I had ever made\nBut when you touch me like this\nAnd you hold me like that\nI just have to admit\nThat it's all coming back to me\nWhen I touch you like this\nAnd I hold you like that\nIt's so hard to believe but\nIt's all coming back to me\n(It's all coming back, it's all coming back to me now)\nThere were moments of gold\nAnd there were flashes of light\nThere were things I'd never do again\nBut then they'd always seemed right\nThere were nights of endless pleasure\nIt was more than any laws allow\nBaby baby\nIf I kiss you like this\nAnd if you whisper like that\nIt was lost long ago\nBut it's all coming back to me\nIf you want me like this\n...\n\n\n",C14
"I spoke a vow today and asked if God would come and play\nI've dug a shallow hole for him to sleep\nBut I swear he just won't answer me\nI call on out is he afraid, I'll bury him down with the ones he keeps\nAnd if the devil is listening, I'll come for him as well\nIf I suspect he had a hand to play\nAnd if I see his face in town, there's room for two down underground\nNothing's gonna stop me till I'm done\nUntil I'm done, until I'm done, until I'm done, until I'm done\n'Cause tonight I'm killing gods, killing gods\n\nIt's guilt and frustration, it's everything between\nThe silence and the absence hitting home\nPeripheral glances and the chasing of a sound\nI never knew I'd miss until it's gone\nSo ask me how I'm coping\nAnd I'll smile and tell you: I'm just fine\n...\n\n\n",C21
"Leave me out with the waste\nThis is not what I do\nIt's the wrong kind of place\nTo be thinking of you\nIt's the wrong time\nFor somebody new\n\nIt's a small crime\nAnd I got no excuse\nAnd is that alright? Yeah\nGive my gun away when it's loaded\nThat alright? Yeah\n\nIf you don't shoot it how am I supposed to hold it?\n\nThat alright? Yeah\n\nGive my gun away when it's loaded\n\nThat alright? Yeah, with you?\n...\n\n\n",C10
"On a dark desert highway\nCool wind in my hair\nWarm smell of colitas\nRising up through the air\n\nUp ahead in the distance\nI saw a shimmering light\nMy head grew heavy, and my sight grew dim\nI had to stop for the night\n\nThere she stood in the doorway\nI heard the mission bell\nAnd I was thinking to myself:\nThis could be heaven or this could be hell\n\nThen she lit up a candle\nAnd she showed me the way\nThere were voices down the corridor\nI thought I heard them say\n\nWelcome to the Hotel California\nSuch a lovely place (such a lovely place)\nSuch a lovely face\n\n...\n\n\n",C21
"One, one, one, one, one\n\nTalking in my sleep at night\nMaking myself crazy\n(Out of my mind, out of my mind)\n\nWrote it down and read it out\nHoping it would save me\n(Too many times, too many times)\n\nMy love\nHe makes me feel like nobody else\nNobody else\n\nBut my love\nHe doesn't love me, so I tell myself\nI tell myself\n\nOne: Don't pick up the phone\n\nYou know he's only calling 'cause he's drunk and alone\n\nTwo: Don't let him in\n\nYou'll have to kick him out again\n\nThree: Don't be his friend\n\nYou know you're gonna wake up in his bed in the morning\n\nAnd if you're under him\nYou ain't getting over him\n\nI got new rules - I count 'em\nI got new rules - I count 'em\nI gotta tell them to myself\nI got new rules - I count 'em\nI gotta tell them to myself\n\n...\n\n\n",C14
"Father tell me, we get what we deserve\nOh we get what we deserve\n\nAnd way down we go\nWay down we go\nSay way down we go\nWay down we go\n\nYou let your feet run wild\nTime has come as we all oh, go down\nYeah but for the fall oh, my\n...\n\n\n",C20
"Hello darkness, my old friend\nI've come to talk with you again\nBecause a vision softly creeping\nLeft its seeds while I was sleeping\nAnd the vision that was planted in my brain\nStill remains\nWithin the sound of silence\n\nIn restless dreams I walked alone\nNarrow streets of cobblestone\n'Neath the halo of a street lamp\nI turned my collar to the cold and damp\nWhen my eyes were stabbed by the flash of a neon light\n...\n\n\n",C21
